186,03-01-01-060-012-000,URBANO,,, 02/07/2001,TRANSFERENCIA INICIAL, 06/11/2001
187,03-01-01-060-013-000,URBANO,,285440-1, 02/07/2001,TRASMISION PATRIMONIAL, 20/07/2021
188,03-01-03-005-004-000,URBANO,15191,, ,TRANSFERENCIA INICIAL, 06/11/2001
189,03-01-03-005-005-000,URBANO,65576,, ,AVALUO CATASTRAL, 04/12/2015
190,03-01-03-005-006-000,URBANO,65577,, ,TRANSFERENCIA INICIAL, 06/11/2001
191,03-01-03-005-007-000,URBANO,65578,, ,TRANSFERENCIA INICIAL, 06/11/2001
192,03-01-03-005-008-000,URBANO,,, ,MANIFESTACION, 02/06/2020
193,03-01-03-005-009-000,URBANO,33133,, ,TRANSFERENCIA INICIAL, 06/11/2001
194,03-01-03-005-010-000,URBANO,33134,, ,TRANSFERENCIA INICIAL, 06/11/2001
195,03-01-03-005-011-000,URBANO,948,, ,TRANSFERENCIA INICIAL, 06/11/2001
196,03-01-03-005-012-000,URBANO,65968,, ,TRANSFERENCIA INICIAL, 06/11/2001
197,03-01-03-005-013-000,URBANO,34414,, ,TRANSFERENCIA INICIAL, 06/11/2001
198,03-01-03-005-014-000,URBANO,34415,208087-1, ,TRASMISION PATRIMONIAL, 17/02/2010
199,03-01-03-005-015-000,URBANO,28673,, ,TRANSFERENCIA INICIAL, 06/11/2001
200,03-01-03-005-016-000,URBANO,21898,50 I.P 183, ,TRASMISION PATRIMONIAL, 08/09/2005
201,03-01-03-005-017-000,URBANO,58821,24624-1, ,TRASMISION PATRIMONIAL, 10/12/2020
202,03-01-03-005-018-000,URBANO,27006,, ,TRANSFERENCIA INICIAL, 06/11/2001
203,03-01-03-005-019-000,URBANO,41786,, ,TRANSFERENCIA INICIAL, 06/11/2001
204,03-01-03-005-020-000,URBANO,56987,, ,TRANSFERENCIA INICIAL, 06/11/2001
205,03-01-03-005-021-000,URBANO,81854,, ,TRASMISION PATRIMONIAL, 04/01/2002
206,03-01-03-005-022-000,URBANO,3008,, ,AVALUO CATASTRAL, 18/03/2020
207,03-01-03-005-023-000,URBANO,22548,, ,TRANSFERENCIA INICIAL, 06/11/2001
208,03-01-03-005-024-000,URBANO,29873,, ,MANIFESTACION, 22/07/2005
209,03-01-03-005-025-000,URBANO,29874,, ,TRANSFERENCIA INICIAL, 06/11/2001
210,03-01-03-005-026-000,URBANO,10416,8021692-1, ,TRASMISION PATRIMONIAL, 25/02/2013
211,03-01-03-005-027-000,URBANO,43078,004561-1, ,MANIFESTACION, 27/09/2023
